CUSIP,Position
9128283H1,1000000
9128283H1,-1000000
9128283H1,4000000
9128283H1,-3000000
9128283H1,6000000
9128283H1,0
9128283H1,3000000
9128283H1,-2000000
9128283H1,5000000
9128283H1,-4000000
9128283L2,1000000
9128283L2,-1000000
9128283L2,4000000
9128283L2,-3000000
9128283L2,6000000
9128283L2,0
9128283L2,3000000
9128283L2,-2000000
9128283L2,5000000
9128283L2,-4000000
912828M80,1000000
912828M80,-1000000
912828M80,4000000
912828M80,-3000000
912828M80,6000000
912828M80,0
912828M80,3000000
912828M80,-2000000
912828M80,5000000
912828M80,-4000000
9128283J7,1000000
9128283J7,-1000000
9128283J7,4000000
9128283J7,-3000000
9128283J7,6000000
9128283J7,0
9128283J7,3000000
9128283J7,-2000000
9128283J7,5000000
9128283J7,-4000000
9128283F5,1000000
9128283F5,-1000000
9128283F5,4000000
9128283F5,-3000000
9128283F5,6000000
9128283F5,0
9128283F5,3000000
9128283F5,-2000000
9128283F5,5000000
9128283F5,-4000000
912810RZ3,1000000
912810RZ3,-1000000
912810RZ3,4000000
912810RZ3,-3000000
912810RZ3,6000000
912810RZ3,0
912810RZ3,3000000
912810RZ3,-2000000
912810RZ3,5000000
912810RZ3,-4000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
